,ROPOLine,Task Order,Condom Adjusted Task Order,Country,RO Number,PO DO IO Number,Order Number,Prime Line Number,Status Name,TLP Indicator,Order Type,Fulfillment Method,Transportation Mode,Item Tracer Category,Product Category,Item ID,ProductName,UOM,Base Unit,Base Unit Multiplier,Country Registration Status,Item Volume,Item Volume UOM,Item Weight,Item Weight UOM,Health Element,D365 Health Element,D365 Funding Source,D365 Funding Source Detail,Estimated Lead Time in Days,Emergency Order,Manufacturer Name,Manufacturer Location,Manufacture CountryCountry of Origin,Supplier,Order Pick Up Country,Vendor Incoterm,Destination Incoterm,Unit Price,List Price,Ordered Quantity,Line Total,Shipped Quantity,QAquantity,Delivery Value,Total Actual Freight Costs,In Full (IFD),On Time (OTD),Between -14 and 14,Between -30 and 30,OTIF Categories,OTIF Between -14 and 14,OTIF Between -30 and 30,Average Days Late Binned,Average Days Late,Number of Shipments,Delivery Progress,Line Delivery Status,Agreed Delivery Date,Agreed Delivery Date Year,Agreed Delivery Date Year Month,Agreed Delivery Date Fiscal Year,Agreed Delivery Date Fiscal Quarter Year,Revised Agreed Delivery Date,Revised Agreed Delivery Date Year,Revised Agreed Delivery Date Year Month,Revised Agreed Delivery Date Fiscal Year,Revised Agreed Delivery Date Fiscal Quarter Year,Order Entry Date,Order Entry Date Year,Order Entry Date Year Month,Order Entry Date Fiscal Year,Order Entry Date Fiscal Quarter Year,Requested Delivery Date,Requested Delivery Date Year,Requested Delivery Date Year Month,Requested Delivery Date Fiscal Year,Requested Delivery Date Fiscal Quarter Year,Estimated Delivery Date,Estimated Delivery Date Year,Estimated Delivery Date Year Month,Estimated Delivery Date Fiscal Year,Estimated Delivery Date Fiscal Quarter Year,Latest Actual Delivery Date,Latest Actual Delivery Date Year,Latest Actual Delivery Date Year Month,Latest Actual Delivery Date Fiscal Year,Latest Actual Delivery Date Fiscal Quarter Year,RO Clarified Date,RO Sent Plan Fulfillment Date,RO Sent Sourcing RFX Event Date,Initial PSM Source Approval Date,Recipient Approval Date,USAID Approval Date,PO Released For Fulfillment Date,PO Released For Fulfillment Date Year,PO Released For Fulfillment Date Year Month,PO Released For Fulfillment Date Fiscal Year,PO Released For Fulfillment Date Fiscal Quarter Year,Committed Goods Available Date,Actual Goods Available Date,Actual Cargo Ready Date,QA Complete Date,Max Pick Up Date,Max Ship Date,Max Departure Date,Max Arrival Date,Order Cycle Time,RO on Hold - Client,RO on Hold - Recipient,RO on Hold – Pre-RFxPre-Allocation Stage,RO on Hold – Tech Package Stage,RO on Hold – Supply Planning,On Hold Pending PO Release,On Hold Pending RO Release,Line Item Total Dwell,RO Validation,Sourcing and Planning,USAID Approval,Process PODO,Manufacture,Pick Up,Deliver,Quality Assurance,Reason Code,Reason Text,Changed Field,Reason Code Duration
3390,RO10082137RO10082137_524,TO3,TO3,Congo DRC,RO10082137,RO10082137_5,RO10082137,24,Shipment Delivered,GSC,Distribution Order,RDC,Air,Injectable Contraceptives,Injectable Contraceptives,100125GPX01S08U,"Depot (IM) Medroxyprogesterone Acetate 150 mg/mL (1 mL) Vial, w/ AD Syringe, Burn Boxes, 1 Each                                 ",UNT,Each,1.0,,0.000133,CBM,0.0175,KGM             ,317MISSION,,,,203.0,N,Pfizer Manufacturing Belgium NV,"API (7000 Portage Rd, Kalamazoo, MI 49001), Rijksweg 12, B-2870, Puurs, Belgium",BE,Pfizer Overseas LLC,Belgium,,DAP,0.88,0.88,2000.0,1760.0,2000.0,0.0,1760.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,-3.0,1.0,2,Delivered - On Time,2020-04-28,2020.0,2020-04,2020.0,2020-Q3,2020-03-12,2020.0,2020-03,2020.0,2020-Q2,2019-09-10,2019.0,2019-09,2019.0,2019-Q4,2019-12-31,2019.0,2019-12,2020.0,2020-Q1,2020-02-15,2020.0,2020-02,2020.0,2020 Q2,2020-03-09,2020.0,2020-03,2020.0,2020-Q2,,,,2019-09-19,2019-09-19,2019-10-08,2019-10-09,2019.0,2019-10,2020.0,2020-Q1,2019-10-16,,2019-10-16,,2020-02-06,2020-02-13,2020-02-13,2020-03-09,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,19.0,1.0,7.0,113.0,32.0,,AD012,"""RDD was 12/31/2019, original ADD was 4/28/2020
Waiver was obtained earlier than expected so PSM can deliver closer to the RDD.""",AGREED_DELIVERY_DATE,-47.0
3726,RO10082138RO10082138_1717,TO3,TO3,Congo DRC,RO10082138,RO10082138_17,RO10082138,17,Shipment Delivered,GSC,Distribution Order,RDC,Air,Progestin Only Pills,Oral Contraceptives,100025AOB09W08V,"Levonorgestrel 30 mcg 35 Tablets/Cycle, 1 Cycle                                                                                 ",UNT,Cycle,1.0,,7.361e-05,CBM,0.00778,KGM             ,317MISSION,,,,203.0,N,Bayer Weimar GmbH and Co. KG,"Dobereiner Str. 20 99427 Weimar (bulk manufacturing), Bayer Pharma AG, Berlin (packaging and release), Germany",DE,Bayer AG,Belgium,,DAP,0.3,0.3,20160.0,6048.0,20160.0,0.0,6048.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,-3.0,1.0,2,Delivered - On Time,2020-04-28,2020.0,2020-04,2020.0,2020-Q3,2020-03-12,2020.0,2020-03,2020.0,2020-Q2,2019-09-10,2019.0,2019-09,2019.0,2019-Q4,2020-03-31,2020.0,2020-03,2020.0,2020-Q2,2020-02-15,2020.0,2020-02,2020.0,2020 Q2,2020-03-09,2020.0,2020-03,2020.0,2020-Q2,,,,2019-09-19,2019-09-19,2019-10-08,2019-10-09,2019.0,2019-10,2020.0,2020-Q1,2019-10-21,,2019-10-18,,2020-02-11,2020-02-13,2020-02-13,2020-03-09,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,19.0,1.0,9.0,116.0,27.0,,AD012,"""RDD was 3/31/2020, original ADD was 4/28/2020
Waiver was obtained earlier than expected so PSM can deliver closer to the RDD.""",AGREED_DELIVERY_DATE,-47.0
4235,RO10076140PO100117142,TO3,TO1,Afghanistan,RO10076140,PO10011714,PO10011714,2,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Condoms,Male Condoms,104028XXA0DA01X,"Male Condom (Latex) Lubricated, Asodagi, 53 mm, 4 Pcs/Wallet, 15 Wallet/Disp, 3000 Pieces                                       ",CAS,Piece,3000.0,,,,,KGM             ,317MISSION,,,,252.0,Y,Suretex Limited,"31/1 Moo 4, Tambon Khao Hua Kwai, Amphur Phunphin, Surathani, Thailand 84130",TH,Suretex Limited,Thailand,FCA,DAP,142.98,142.98,687.0,98227.26,687.0,0.0,98227.26,,Y,N,N,N,Not On Time In Full,Not On Time In Full,Not On Time In Full,>30,165.0,1.0,2,Delivered - Late,2020-01-22,2020.0,2020-01,2020.0,2020-Q2,2020-01-22,2020.0,2020-01,2020.0,2020-Q2,2019-05-01,2019.0,2019-05,2019.0,2019-Q3,2019-05-30,2019.0,2019-05,2019.0,2019-Q3,2020-06-30,2020.0,2020-06,2020.0,2020 Q3,2020-07-05,2020.0,2020-07,2020.0,2020-Q4,,,,2019-05-13,2019-05-15,2019-05-15,2019-10-14,2019.0,2019-10,2020.0,2020-Q1,2019-09-17,2019-10-30,2019-12-04,,2019-12-18,2019-12-21,2019-12-21,2020-07-05,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,152.0,16.0,49.0,200.0,,,,,
5436,RO10090221PO100162871,TO3,TO3,Bangladesh,RO10090221,PO10016287,PO10016287,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Land,Injectable Contraceptives,Injectable Contraceptives,100125GPA08P32Y,"Depot (IM) Medroxyprogesterone Acetate 150 mg/mL (1 mL) Vial, SR, 1 Vial                                                        ",UNT,Vial,1.0,,5e-05,CBM,0.0125,KGM             ,317MISSION,,,,70.0,N,Incepta Pharmaceuticals Ltd,"Unit 1, Injectable Potent Drug (IPD) Krishnapura, Sahabelishor, Dhamrai, Dhaka, Bangladesh",BD,Incepta Pharmaceuticals Ltd,Bangladesh,DDP,DAP,0.53,0.53,301320.0,159699.6,301320.0,0.0,159699.6,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,1.0,1.0,2,Delivered - On Time,2020-10-06,2020.0,2020-10,2021.0,2021-Q1,2020-10-06,2020.0,2020-10,2021.0,2021-Q1,2020-02-27,2020.0,2020-02,2020.0,2020-Q2,2020-08-28,2020.0,2020-08,2020.0,2020-Q4,2020-09-20,2020.0,2020-09,2020.0,2020 Q4,2020-10-07,2020.0,2020-10,2021.0,2021-Q1,,,,2020-07-24,2020-07-27,2020-07-28,2020-08-21,2020.0,2020-08,2020.0,2020-Q4,2020-09-20,,,,,2020-10-13,,,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,24.0,,,,,SD000,No delay,ESTIMATED_DELIVERY_DATE,
5644,RO10110251RO10110251_410,TO3,TO3,Congo DRC,RO10110251,RO10110251_4,RO10110251,10,Shipment Delivered,GSC,Distribution Order,RDC,Sea,Combined Oral Contraceptives,Oral Contraceptives,100050AOA09W04D,"Levonorgestrel/Ethinyl Estradiol 150/30 mcg + Fe 75 mg, 28 Tablets/Cycle (PS), 1 Cycle                                          ",UNT,Cycle,1.0,,7.5e-05,CBM,0.00927,KGM             ,317MISSION,,,,189.0,N,Bayer Weimar GmbH and Co. KG,"Dobereiner Str. 20 99427 Weimar (bulk manufacturing), Bayer Pharma AG, Berlin (packaging and release), Germany",DE,Bayer AG,Belgium,,DAP,0.26,0.26,39600.0,10296.0,39600.0,0.0,10296.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2021-05-02,2021.0,2021-05,2021.0,2021-Q3,2021-03-30,2021.0,2021-03,2021.0,2021-Q2,2020-09-16,2020.0,2020-09,2020.0,2020-Q4,2021-01-02,2021.0,2021-01,2021.0,2021-Q2,2021-01-16,2021.0,2021-01,2021.0,2021 Q2,2021-03-30,2021.0,2021-03,2021.0,2021-Q2,,,,2020-10-21,2020-10-21,2020-10-25,2020-10-26,2020.0,2020-10,2021.0,2021-Q1,2020-10-30,,2020-11-16,,2020-11-30,2020-12-03,2020-12-03,2021-03-30,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,1.0,21.0,14.0,120.0,,AD012,"RDD is 1/1, original ADD was 5/2. The waiver leadtime was shorter than usual, so PSM could deliver closer to the RDD.",AGREED_DELIVERY_DATE,-33.0
5699,RO10082138RO10082138_1211,TO3,TO3,Congo DRC,RO10082138,RO10082138_12,RO10082138,11,Shipment Delivered,GSC,Distribution Order,RDC,Air,Progestin Only Pills,Oral Contraceptives,100025AOB09W08V,"Levonorgestrel 30 mcg 35 Tablets/Cycle, 1 Cycle                                                                                 ",UNT,Cycle,1.0,,7.361e-05,CBM,0.00778,KGM             ,317MISSION,,,,203.0,N,Bayer Weimar GmbH and Co. KG,"Dobereiner Str. 20 99427 Weimar (bulk manufacturing), Bayer Pharma AG, Berlin (packaging and release), Germany",DE,Bayer AG,Belgium,,DAP,0.3,0.3,8640.0,2592.0,8640.0,0.0,2592.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,-2.0,1.0,2,Delivered - On Time,2020-04-28,2020.0,2020-04,2020.0,2020-Q3,2020-03-12,2020.0,2020-03,2020.0,2020-Q2,2019-09-10,2019.0,2019-09,2019.0,2019-Q4,2020-03-31,2020.0,2020-03,2020.0,2020-Q2,2020-02-15,2020.0,2020-02,2020.0,2020 Q2,2020-03-10,2020.0,2020-03,2020.0,2020-Q2,,,,2019-09-19,2019-09-19,2019-10-08,2019-10-09,2019.0,2019-10,2020.0,2020-Q1,2019-10-21,,2019-10-18,,2020-02-11,2020-02-13,2020-02-13,2020-03-10,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,19.0,1.0,9.0,116.0,28.0,,AD012,"""RDD was 3/31/2020, original ADD was 4/28/2020
Waiver was obtained earlier than expected so PSM can deliver closer to the RDD.""",AGREED_DELIVERY_DATE,-47.0
5774,RO10108301PO100175311,TO3,TO3,Angola,RO10108301,PO10017531,PO10017531,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Injectable Contraceptives,Injectable Contraceptives,100125GPX01S27K,"Depot (IM) Medroxyprogesterone Acetate 150 mg/mL (1 mL) Vial, w/ AD Syringe, Burn Boxes, 1 Each                                 ",UNT,Each,1.0,,0.00011999999999999999,CBM,0.01845,KGM             ,317MISSION,,,,140.0,N,"PT Tunggal Idman Abdi (Supplier, Missionpharma).","PT Tunggal Idman Abdi (Hormone Plant 2), Jalan Jendral Ahmad Yani No.7, Jakarta Timur 13230. Indonesia",ID,Missionpharma A/S,,FCA,CPT,0.7759999999999999,0.78,282000.0,218832.0,282000.0,0.0,218832.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,-1.0,1.0,2,Delivered - On Time,2021-04-09,2021.0,2021-04,2021.0,2021-Q3,2021-04-09,2021.0,2021-04,2021.0,2021-Q3,2020-08-13,2020.0,2020-08,2020.0,2020-Q4,2021-01-25,2021.0,2021-01,2021.0,2021-Q2,2021-03-28,2021.0,2021-03,2021.0,2021 Q2,2021-04-08,2021.0,2021-04,2021.0,2021-Q3,,,2020-10-09,2020-11-02,2020-11-17,2020-11-19,2020-12-08,2020.0,2020-12,2021.0,2021-Q1,2020-12-22,,2020-12-23,,2021-01-19,2021-01-25,2021-01-25,2021-04-08,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,39.0,2.0,19.0,,,79.0,,SD000,Admin error - CGAD expected on time,CHANGE_ORDER_DATE,
5775,RO10088250PO100142241,TO3,TO3,Congo DRC,RO10088250,PO10014224,PO10014224,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Implantable Contraceptives,Contraceptive Implants,103915GYV01S2C7,"Levonorgestrel 75 mg/Rod w/ Trocar, 3 Year Efficacy, 2 Rod Implant, 1 Each                                                      ",PCS,Each,1.0,,,,,KGM             ,317MISSION,,,,322.0,N,"Shanghai Dahua Pharmaceutical Co., Ltd.","3503 Changzheng Road, Chongming county, Shanghai, China",CN,DKT International Inc.,United Kingdom,FCA,DAP,6.9,6.9,2000.0,13800.0,2000.0,0.0,13800.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2021-01-14,2021.0,2021-01,2021.0,2021-Q2,2021-02-01,2021.0,2021-02,2021.0,2021-Q2,2020-01-17,2020.0,2020-01,2020.0,2020-Q2,2020-11-30,2020.0,2020-11,2021.0,2021-Q1,2020-10-28,2020.0,2020-10,2021.0,2021 Q1,2021-02-01,2021.0,2021-02,2021.0,2021-Q2,,,2020-02-10,2020-02-26,2020-02-26,2020-02-27,2020-03-26,2020.0,2020-03,2020.0,2020-Q2,2020-07-02,2020-07-01,2020-07-21,,2020-08-06,2020-08-10,2020-08-10,2021-02-01,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,16.0,1.0,28.0,97.0,36.0,179.0,,AD060,"original ADD 1/14. shipment arrived in DRC 10/28, importation waiver received 11/13, customs clearance done 12/11, so tracking on time. But new processes for customs clearance were implemented in Sept, resulting in delayed port release until 1/15.",AGREED_DELIVERY_DATE,18.0
6109,RO10088245PO100144081,TO3,TO3,Congo DRC,RO10088245,PO10014408,PO10014408,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Implantable Contraceptives,Contraceptive Implants,100129GYV01S0AE,"Etonogestrel 68 mg/Rod, 1 Rod Implant, 1 Each                                                                                   ",UNT,Each,1.0,,0.0005099999999999999,CBM,0.0625,KGM             ,317MISSION,,,,385.0,N,N.V. Organon,"Kloosterstraat 6, NL-5349 AB, Oss, The Netherlands",NL,"Merck, Sharp + Dohme B.V.",Netherlands,FCA,DAP,8.5,8.5,2880.0,24480.0,2880.0,0.0,24480.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2021-04-01,2021.0,2021-04,2021.0,2021-Q3,2021-01-28,2021.0,2021-01,2021.0,2021-Q2,2020-01-17,2020.0,2020-01,2020.0,2020-Q2,2020-04-01,2020.0,2020-04,2020.0,2020-Q3,2020-10-31,2020.0,2020-10,2021.0,2021 Q1,2021-01-28,2021.0,2021-01,2021.0,2021-Q2,,,2020-02-06,2020-03-10,2020-03-10,2020-03-12,2020-04-01,2020.0,2020-04,2020.0,2020-Q3,2020-08-14,2020-07-20,2020-08-11,,2020-08-28,2020-09-01,2020-09-01,2021-01-28,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,33.0,2.0,20.0,110.0,39.0,153.0,,AD012,"RDD was 4/1/2020; original ADD was 4/1/2021 due to the global shortage and allocation of NXT w/ CPG. Production for DRC was allocated earlier than initially planned and the waiver leadtime was shorter than usual, so PSM could deliver earlier.",AGREED_DELIVERY_DATE,-63.0
7569,RO10088245PO100144031,TO3,TO3,Congo DRC,RO10088245,PO10014403,PO10014403,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Implantable Contraceptives,Contraceptive Implants,100129GYV01S0AE,"Etonogestrel 68 mg/Rod, 1 Rod Implant, 1 Each                                                                                   ",UNT,Each,1.0,,0.0005099999999999999,CBM,0.0625,KGM             ,317MISSION,,,,385.0,N,N.V. Organon,"Kloosterstraat 6, NL-5349 AB, Oss, The Netherlands",NL,"Merck, Sharp + Dohme B.V.",Netherlands,FCA,DAP,8.5,8.5,1224.0,10404.0,1224.0,0.0,10404.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2021-04-01,2021.0,2021-04,2021.0,2021-Q3,2021-01-14,2021.0,2021-01,2021.0,2021-Q2,2020-01-17,2020.0,2020-01,2020.0,2020-Q2,2020-04-01,2020.0,2020-04,2020.0,2020-Q3,2020-10-31,2020.0,2020-10,2021.0,2021 Q1,2021-01-14,2021.0,2021-01,2021.0,2021-Q2,,,2020-02-06,2020-03-10,2020-03-10,2020-03-12,2020-04-01,2020.0,2020-04,2020.0,2020-Q3,2020-08-14,2020-07-20,2020-08-11,,2020-08-28,2020-09-01,2020-09-01,2021-01-14,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,33.0,2.0,20.0,110.0,39.0,139.0,,AD012,"RDD was 4/1/2020; original ADD was 4/1/2021 due to the global shortage and allocation of NXT w/ CPG. Production for DRC was allocated earlier than initially planned and the waiver leadtime was shorter than usual, so PSM could deliver earlier.",AGREED_DELIVERY_DATE,-77.0
7579,RO10097102PO100160501,TO3,TO3,Tanzania,RO10097102,PO10016050,PO10016050,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Injectable Contraceptives,Injectable Contraceptives,100125GPW01S27K,"Depot (IM) Medroxyprogesterone Acetate 150 mg/mL (1 mL) Vial, w/ AD Syringe, 1 Each                                             ",UNT,Each,1.0,,,,,KGM             ,317MISSION,,,,245.0,N,"PT Tunggal Idman Abdi (Supplier, Missionpharma).","PT Tunggal Idman Abdi (Hormone Plant 2), Jalan Jendral Ahmad Yani No.7, Jakarta Timur 13230. Indonesia",ID,Missionpharma A/S,,FCA,DAP,0.7715,0.78,1485500.0,1146063.25,1485500.0,0.0,1146063.25,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2021-03-03,2021.0,2021-03,2021.0,2021-Q2,2021-04-14,2021.0,2021-04,2021.0,2021-Q3,2020-05-04,2020.0,2020-05,2020.0,2020-Q3,2021-02-28,2021.0,2021-02,2021.0,2021-Q2,2021-02-22,2021.0,2021-02,2021.0,2021 Q2,2021-04-14,2021.0,2021-04,2021.0,2021-Q3,,,,2020-06-29,2020-07-01,2020-07-01,2020-09-15,2020.0,2020-09,2020.0,2020-Q4,2020-11-23,,2020-11-20,,2020-12-14,2020-12-21,2020-12-21,2021-04-14,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,76.0,,,121.0,,AD050,"correcting ADD. Original ADD 3/3, RO was tracking on time thru arrival in country-2/22. But TMARC paid VAT+6% customs fee+0.25% TMDA fee only in April",AGREED_DELIVERY_DATE,-28489.0
7880,RO10088245PO100144061,TO3,TO3,Congo DRC,RO10088245,PO10014406,PO10014406,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Implantable Contraceptives,Contraceptive Implants,100129GYV01S0AE,"Etonogestrel 68 mg/Rod, 1 Rod Implant, 1 Each                                                                                   ",UNT,Each,1.0,,0.0005099999999999999,CBM,0.0625,KGM             ,317MISSION,,,,385.0,N,N.V. Organon,"Kloosterstraat 6, NL-5349 AB, Oss, The Netherlands",NL,"Merck, Sharp + Dohme B.V.",Netherlands,FCA,DAP,8.5,8.5,19800.0,168300.0,19800.0,0.0,168300.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2021-04-01,2021.0,2021-04,2021.0,2021-Q3,2021-01-12,2021.0,2021-01,2021.0,2021-Q2,2020-01-17,2020.0,2020-01,2020.0,2020-Q2,2020-04-01,2020.0,2020-04,2020.0,2020-Q3,2020-10-31,2020.0,2020-10,2021.0,2021 Q1,2021-01-12,2021.0,2021-01,2021.0,2021-Q2,,,2020-02-06,2020-03-10,2020-03-10,2020-03-12,2020-04-01,2020.0,2020-04,2020.0,2020-Q3,2020-08-14,2020-07-20,2020-08-11,,2020-08-28,2020-09-01,2020-09-01,2021-01-12,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,33.0,2.0,20.0,110.0,39.0,137.0,,AD012,"RDD was 4/1/2020; original ADD was 4/1/2021 due to the global shortage and allocation of NXT w/ CPG. Production for DRC was allocated earlier than initially planned and the waiver leadtime was shorter than usual, so PSM could deliver earlier.",AGREED_DELIVERY_DATE,-79.0
7950,RO10108404PO100176191,TO3,TO3,Rwanda,RO10108404,PO10017619,PO10017619,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Air,Implantable Contraceptives,Contraceptive Implants,100129GYV01S3LR,"Etonogestrel 68 mg/Rod, 1 Rod Implant, 1 Each                                                                                   ",UNT,Each,1.0,,0.00038889,CBM,0.0625,KGM             ,317MISSION,,,,,N,N.V. Organon,"Kloosterstraat 6, NL-5349 AB, Oss, Netherlands",NL,N.V. Organon,,FCA,DDP,8.5,8.5,68256.0,580176.0,68256.0,0.0,580176.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2021-06-03,2021.0,2021-06,2021.0,2021-Q3,2021-04-01,2021.0,2021-04,2021.0,2021-Q3,2019-12-20,2019.0,2019-12,2020.0,2020-Q1,2021-02-26,2021.0,2021-02,2021.0,2021-Q2,2021-03-30,2021.0,2021-03,2021.0,2021 Q2,2021-04-01,2021.0,2021-04,2021.0,2021-Q3,,,2020-10-26,2020-11-02,2020-11-02,2020-11-05,2020-12-16,2020.0,2020-12,2021.0,2021-Q1,2021-01-18,2021-02-12,2021-02-28,,2021-03-15,2021-03-26,2021-03-26,2021-04-01,469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,7.0,3.0,41.0,58.0,31.0,17.0,,AD012,"The country requested to expedite the delivery of this order as consumption accelerated, and to thus switch to air shipment.",AGREED_DELIVERY_DATE,-63.0
8047,RO10082157RO10082157_12,TO3,TO3,Mozambique,RO10082157,RO10082157_1,RO10082157,2,Shipment Delivered,GSC,Distribution Order,RDC,Sea,Implantable Contraceptives,Contraceptive Implants,100130GYV01S08P,"Levonorgestrel 75 mg/Rod w/ Trocar, 5 Year Efficacy, 2 Rod Implant, 1 Each                                                      ",PCS,Each,1.0,,0.00014199999999999998,CBM,0.0217,KGM             ,317MISSION,,,,133.0,N,Bayer Schering Pharma Oy,"Pansiontie 47, FI-20210, Turku, Finland",FI,Bayer AG,Belgium,,DAP,8.5,8.5,82000.0,697000.0,82000.0,0.0,697000.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,-2.0,1.0,2,Delivered - On Time,2021-03-31,2021.0,2021-03,2021.0,2021-Q2,2021-03-31,2021.0,2021-03,2021.0,2021-Q2,2019-09-11,2019.0,2019-09,2019.0,2019-Q4,2021-03-31,2021.0,2021-03,2021.0,2021-Q2,2021-03-24,2021.0,2021-03,2021.0,2021 Q2,2021-03-29,2021.0,2021-03,2021.0,2021-Q2,2019-09-12,2019-09-12,2019-09-19,2020-10-02,2020-10-07,2020-10-07,2020-12-15,2020.0,2020-12,2021.0,2021-Q1,2020-12-17,,2020-12-21,,2021-02-04,2021-02-11,2021-02-11,2021-03-29,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,391.0,0.0,69.0,6.0,45.0,53.0,,,,,
8422,RO10088250PO100142231,TO3,TO3,Congo DRC,RO10088250,PO10014223,PO10014223,1,Shipment Delivered,GSC,Purchase Order,Direct Drop,Sea,Implantable Contraceptives,Contraceptive Implants,103915GYV01S2C7,"Levonorgestrel 75 mg/Rod w/ Trocar, 3 Year Efficacy, 2 Rod Implant, 1 Each                                                      ",PCS,Each,1.0,,,,,KGM             ,317MISSION,,,,322.0,N,"Shanghai Dahua Pharmaceutical Co., Ltd.","3503 Changzheng Road, Chongming county, Shanghai, China",CN,DKT International Inc.,United Kingdom,FCA,DAP,6.9,6.9,4000.0,27600.0,4000.0,0.0,27600.0,,Y,Y,Y,Y,On Time In Full,On Time In Full,On Time In Full,,0.0,1.0,2,Delivered - On Time,2021-01-14,2021.0,2021-01,2021.0,2021-Q2,2021-02-08,2021.0,2021-02,2021.0,2021-Q2,2020-01-17,2020.0,2020-01,2020.0,2020-Q2,2020-11-30,2020.0,2020-11,2021.0,2021-Q1,2020-10-28,2020.0,2020-10,2021.0,2021 Q1,2021-02-08,2021.0,2021-02,2021.0,2021-Q2,,,2020-02-10,2020-02-26,2020-02-26,2020-02-27,2020-03-26,2020.0,2020-03,2020.0,2020-Q2,2020-07-02,2020-07-01,2020-07-21,,2020-08-06,2020-08-10,2020-08-10,2021-02-08,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,16.0,1.0,28.0,97.0,36.0,186.0,,AD060,"corrected to correct arrival day.
original ADD 1/14. shipment arrived 10/28, importation waiver received 11/13, customs clearance done 12/11=tracking on time. But new processes for customs clearance (Sept) led to delayed port release until 1/15.",AGREED_DELIVERY_DATE,17.0
